Season,Date,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,HAttack,HMidfield,HDefense,HOverall,AAttack,AMidfield,ADefense,AOverall,Wk,AwayTeam,HomeTeam,AwayGame,HomeGame,HForm,AForm,HTGC,ATGC,HTGS,ATGS,HSt,ASt,HGKPP,AGKPP,HHTGKPP,AHTGKPP,HSTKPP,ASTKPP,HSKPP,ASKPP,HYKKP,AYKKP,HRKKP,ARKKP,HCKPP,ACKPP,HFKKP,AFKKP,HTGD,ATGD,FormDif,StDif,GKPP,HTGKPP,STKPP,SKPP,YKKP,RKKP,CKPP,FKKP,AttackDiff,MidfieldDiff,DefenseDiff,OverallDiff,GoalDiff
PL_04_05,2004-08-24,1,0,H,1,0,H,P Dowd,6,4,2,1,20,13,2,5,1,1,0,0,1.9,3.1,4.33,80,76,77,77,81,76,74,77,3,Man City,Birmingham,3,3,0.6699999999999999,0.6699999999999999,2,3,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,3,0,0
PL_04_05,2004-08-25,0,2,A,0,0,D,D Gallagher,6,10,2,5,10,8,1,6,0,1,0,0,2.5,3.2,2.75,78,76,77,78,82,79,79,80,3,Middlesbrough,Fulham,3,3,1.294063,0.6699999999999999,1,7,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-2,0.624063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,-3,-2,-2,4
PL_04_05,2004-08-25,1,1,D,1,1,D,B Knight,4,12,2,6,13,10,4,5,0,0,0,0,2.75,3.2,2.5,78,72,71,73,81,76,75,77,3,Tottenham,West Brom,3,3,1.0729630000000001,1.2211,2,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,-0.14813699999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,-4,-4,-4,-1
PL_04_05,2004-08-25,1,2,A,0,2,A,S Dunn,10,9,6,5,9,8,9,6,1,1,0,0,2.25,3.2,3.1,80,72,73,75,74,79,73,76,3,Bolton,Southampton,3,3,0.8910999999999999,0.8911,4,3,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,1,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,-7,0,-1,-2
PL_04_05,2004-08-25,2,2,D,1,0,H,M Halsey,23,13,15,5,17,10,12,6,0,1,0,0,1.44,4.0,7.5,85,83,76,81,74,72,73,73,3,Norwich,Newcastle,3,3,0.6699999999999999,0.6699999999999999,3,3,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,11,3,8,0
PL_04_05,2004-08-25,3,0,H,0,0,D,N Barry,15,3,9,0,11,18,6,5,2,4,0,0,1.28,5.0,10.0,92,91,89,90,72,78,75,76,3,Blackburn,Arsenal,3,3,1.6600000000000001,0.6699999999999999,4,4,9,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-1,0.9900000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,13,14,14,6
PL_04_05,2004-08-25,3,0,H,2,0,H,H Webb,7,9,5,4,6,7,4,12,0,1,0,0,2.5,3.2,2.75,76,79,75,77,79,74,77,77,3,Aston Villa,Charlton,3,3,1.0,1.2211,5,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,2,-0.22110000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3,5,-2,0,-4
PL_04_05,2004-08-28,1,0,H,1,0,H,M Clattenburg,6,10,3,2,15,5,2,8,4,1,0,0,2.0,3.2,3.75,81,76,75,77,80,76,77,77,4,Birmingham,Tottenham,4,4,1.1722147900000002,0.8910999999999999,2,2,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.2811147900000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,-2,0,1
PL_04_05,2004-08-28,1,1,D,1,0,H,A Wiley,8,24,4,15,25,17,4,14,3,1,1,0,5.0,3.4,1.72,72,78,75,76,91,90,85,88,4,Man United,Blackburn,3,4,0.44889999999999997,1.0,7,2,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4,0,-0.5511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19,-12,-10,-12,-4
PL_04_05,2004-08-28,1,4,A,0,3,A,G Poll,5,18,5,15,15,5,4,10,1,1,0,0,9.0,4.33,1.36,74,72,73,73,92,91,89,90,4,Arsenal,Norwich,4,4,0.6699999999999999,1.8811000000000002,5,4,4,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,8,-1.2111000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18,-19,-16,-17,-9
PL_04_05,2004-08-28,2,1,H,0,0,D,M Dean,24,6,15,2,16,16,4,2,1,2,0,0,1.44,4.0,7.5,82,79,79,80,69,68,72,69,4,Crystal Palace,Middlesbrough,4,4,0.9561173292999999,0.44889999999999997,7,6,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,-4,0.5072173293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,11,7,11,4
PL_04_05,2004-08-28,2,1,H,1,1,D,P Walton,16,12,10,8,11,16,7,6,0,1,0,0,2.0,3.2,3.75,72,75,74,75,78,72,71,73,4,West Brom,Everton,4,3,0.8910999999999999,1.1057160907,5,3,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,-0.2146160907000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,3,3,2,-1
PL_04_05,2004-08-28,2,1,H,2,1,H,S Bennett,16,6,7,2,11,12,9,0,0,4,0,0,1.28,5.0,10.0,87,88,86,87,80,72,73,75,4,Southampton,Chelsea,4,4,1.7722000000000002,0.5970369999999999,0,6,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,-2,1.1751630000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,16,13,12,6
PL_04_05,2004-08-28,4,0,H,2,0,H,M Halsey,16,6,10,3,11,8,6,4,0,1,0,0,2.25,3.2,3.1,81,76,74,77,76,79,75,77,4,Charlton,Man City,4,4,0.44889999999999997,1.26998521,4,5,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2,1,-0.82108521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,-3,-1,0,-3
PL_04_05,2004-08-28,4,2,H,1,2,A,M Riley,16,12,13,10,23,11,9,4,3,1,0,0,2.4,3.2,2.87,79,74,77,77,85,83,76,81,4,Newcastle,Aston Villa,4,4,0.818137,0.6699999999999999,4,5,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.14813700000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6,-9,1,-4,0
PL_04_05,2004-08-29,1,0,H,1,0,H,U Rennie,10,7,8,2,15,14,5,2,2,0,0,0,3.2,3.25,2.2,74,79,73,76,88,86,82,84,4,Liverpool,Bolton,3,4,1.185163,1.33,4,2,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,-0.1448370000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14,-7,-9,-8,1
PL_04_05,2004-08-30,0,0,D,0,0,D,D Gallagher,14,7,6,2,8,13,8,2,0,2,0,0,1.28,5.0,10.0,91,90,85,88,72,75,74,75,3,Everton,Man United,4,4,0.818137,1.24517779,3,6,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,-0.42704079000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,15,11,13,0
